131,1A1,Female,,121,124,127,162,,,,,
132,1D2,Male ,,117,118,119,,,,,,
133,,Female,,117,126,127,122,,,,,
134,,Female,,123,142,145,134,143,140,,,
135,1S1,Female,,142,123,116,147,141,125,,,
136,1S2,Male ,,132,118,119,,,,,,
137,1A2,Male ,,125,124,121,128,140,,,,
138,,Female,,146,145,13,121,125,,,,
139,1A1,Male ,,115,129,112,125,,,,,
140,1D2,Female,,128,127,126,137,125,,,,
141,,Male ,,119,132,139,,,,,,
142,,Female,,123,135,116,13,,,,,
143,,Male ,,138,142,146,141,140,137,,,
144,,Female,,138,142,146,147,135,,,,
145,,Female,Yes,135,134,168,125,148,147,,,
146,,Female,Yes,124,121,123,140,,,,,
147,,Male ,Yes,124,121,146,137,148,,,,
148,,Male ,,141,114,,147,135,,,,
149,,Female,Yes,100,93,103,,,,,,
150,,Female,,72,41,61,,,,,,
151,1A1,Female,Yes,50,,,,,,,,
152,,Female,,154,159,,153,173,,,,
153,1A2,Female,,157,156,,152,173,159,,,
154,,Female,,152,156,157,,,,,,
155,1D2,Male ,,100,171,,173,159,,,,
156,1A1,Female,,157,100,,152,,,,,
157,1A2,Female,,100,171,156,178,173,,,,
158,1S1,Female,,180,,,176,,,,,
159,,Male ,,100,155,,173,178,,,,
160,,Male ,,168,161,110,,,,,,
161,1S2,Male ,,168,160,110,162,,,,,
162,,Female,,167,164,,169,166,168,,,
163,1D1,Female,,169,166,165,162,,,,,
164,,Female,,167,,,165,,,,,
165,1D1,Female,,169,166,163,162,,,,,
166,,Female,,165,163,169,164,167,168,,,
167,,Female,,164,169,165,,,,,,
168,1A2,Male ,,160,161,69,162,,,,,
169,1A2,Female,,165,163,166,162,167,164,,,
170,1S2,Male ,,172,171,100,152,154,153,,,
171,,Male ,,177,155,,172,,,,,
172,,Male ,,100,170,,171,,,,,
173,1A2,Male ,,,,,159,178,,,,
174,1S2,Male ,,171,178,155,173,159,,,,
175,1D1,Female,,81,158,,,,,,,
176,,Female,,55,157,156,88,,,,,
177,,Male ,,156,157,,173,159,178,,,
178,1S2,Male ,,25,100,,173,,,,,
179,,Female,,158,180,,176,88,,,,
180,,Female,,158,,,,,,,,
181,,Female,,158,180,,176,159,173,,,
